,Unnamed: 0,trial,stimulus,prime,prime_affect,word,word_affect,responsetime,accuracy
1251,1251,1252,14,PH2,positive,arrest,negative,607,1
1252,1252,1253,44,NH2,negative,dismal,negative,635,1
1253,1253,1254,38,NH1,negative,payday,positive,925,1
1254,1254,1255,13,PH2,positive,fatal,negative,589,1
1255,1255,1256,37,NH1,negative,excite,positive,605,1
1256,1256,1257,62,NL2,negative,comfy,positive,666,1
1257,1257,1258,31,PL2,positive,fatal,negative,595,1
1258,1258,1259,38,NH1,negative,payday,positive,516,1
1259,1259,1260,20,PL1,positive,payday,positive,484,1
1260,1260,1261,23,PL1,positive,fatal,negative,490,1
1261,1261,1262,9,PH2,positive,excite,positive,523,1
1262,1262,1263,6,PH1,positive,arrest,negative,579,1
1263,1263,1264,37,NH1,negative,excite,positive,440,1
1264,1264,1265,53,NL1,negative,relax,positive,559,1
1265,1265,1266,51,NL1,negative,fatal,negative,477,1
1266,1266,1267,42,NH2,negative,arrest,negative,431,1
1267,1267,1268,59,NL2,negative,fatal,negative,490,1
1268,1268,1269,14,PH2,positive,arrest,negative,513,1
1269,1269,1270,54,NL1,negative,comfy,positive,557,1
1270,1270,1271,30,PL2,positive,dismal,negative,573,1
1271,1271,1272,49,NL1,negative,morgue,negative,549,1
1272,1272,1273,41,NH2,negative,fatal,negative,466,1
1273,1273,1274,16,PH2,positive,dismal,negative,539,1
1274,1274,1275,24,PL1,positive,arrest,negative,532,1
1275,1275,1276,50,NL1,negative,dismal,negative,529,1
1276,1276,1277,64,NL2,negative,payday,positive,528,1
1277,1277,1278,29,PL2,positive,morgue,negative,522,1
1278,1278,1279,47,NH2,negative,relax,positive,480,1
1279,1279,1280,58,NL2,negative,dismal,negative,489,1
1280,1280,1281,46,NH2,negative,payday,positive,511,1
1281,1281,1282,44,NH2,negative,dismal,negative,477,1
1282,1282,1283,39,NH1,negative,relax,positive,443,1
1283,1283,1284,26,PL2,positive,comfy,positive,517,1
1284,1284,1285,8,PH1,positive,dismal,negative,463,1
1285,1285,1286,18,PL1,positive,comfy,positive,514,1
1286,1286,1287,10,PH2,positive,payday,positive,396,1
1287,1287,1288,11,PH2,positive,relax,positive,404,1
1288,1288,1289,43,NH2,negative,morgue,negative,426,1
1289,1289,1290,15,PH2,positive,morgue,negative,582,1
1290,1290,1291,35,NH1,negative,morgue,negative,558,1
1291,1291,1292,62,NL2,negative,comfy,positive,479,1
1292,1292,1293,33,NH1,negative,fatal,negative,452,1
1293,1293,1294,55,NL1,negative,excite,positive,542,1
1294,1294,1295,31,PL2,positive,fatal,negative,558,1
1295,1295,1296,27,PL2,positive,excite,positive,364,1
1296,1296,1297,61,NL2,negative,relax,positive,529,1
1297,1297,1298,40,NH1,negative,comfy,positive,455,1
1298,1298,1299,12,PH2,positive,comfy,positive,506,1
1299,1299,1300,56,NL1,negative,payday,positive,496,1
1300,1300,1301,28,PL2,positive,payday,positive,439,1
1301,1301,1302,7,PH1,positive,morgue,negative,381,2
1302,1302,1303,32,PL2,positive,arrest,negative,578,1
1303,1303,1304,1,PH1,positive,excite,positive,465,1
1304,1304,1305,13,PH2,positive,fatal,negative,496,1
1305,1305,1306,25,PL2,positive,relax,positive,446,1
1306,1306,1307,17,PL1,positive,relax,positive,484,1
1307,1307,1308,19,PL1,positive,excite,positive,453,1
1308,1308,1309,36,NH1,negative,dismal,negative,470,1
1309,1309,1310,63,NL2,negative,excite,positive,490,1
1310,1310,1311,45,NH2,negative,excite,positive,542,1
1311,1311,1312,21,PL1,positive,morgue,negative,538,1
1312,1312,1313,5,PH1,positive,fatal,negative,319,2
1313,1313,1314,48,NH2,negative,comfy,positive,504,1
1314,1314,1315,22,PL1,positive,dismal,negative,496,1
1315,1315,1316,3,PH1,positive,relax,positive,446,1
1316,1316,1317,52,NL1,negative,arrest,negative,548,1
1317,1317,1318,35,NH1,negative,morgue,negative,605,1
